age	bmi	sex	race	title	updrs	height	weight	cage_id	cohoused	genotype	hy_stage	latitude	pd_class	age_units	elevation	env_biome	longitude	cage_mates	host_taxid	life_stage	description	env_feature	env_package	medications	sample_type	alt_pd_class	donor_status	env_material	geo_loc_name	mice_in_cage	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	disease_status	fecal_donor_id	host_body_site	pd_class_score	sem_group_beam	anonymized_name	hind_limb_score	host_subject_id	mean_group_beam	scientific_name	disease_duration	host_body_habitat	host_body_product	day_post_transplant	sem_group_pole_time	collection_timestamp	fecal_pellets_15_min	host_scientific_name	mean_group_pole_time	constipation_duration	constipation_severity	constipation_re_diagnosis	sem_adhesive_removal_time	mean_adhesive_removal_time	physical_specimen_location	physical_specimen_remaining	qiita_study_id
10483.recip.640.ASO.HC6.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0335	c82	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	645	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	3	0.4903	G30	0	646	2.241	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.9611	04/04/2016 10:00	4	mus musculus	7.043	not provided	not provided	not provided	0.6281	2.747	UCSDMI	TRUE	10483
10483.recip.315.WT.HC1.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c22	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	386	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	3	not provided	B16	not provided	387	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/12/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.549.WT.PD4.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c14	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	not provided	A9	not provided	312	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	09/24/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.640.ASO.HC6.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c83	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	647	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	not provided	G13	not provided	648	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.donor4.PD	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c18	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	317	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	2	not provided	A15	not provided	318	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	09/24/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.455.WT.PD3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0309	c41	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	464	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	3	0.7353	D18	0	467	6.163	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.5426	01/04/2016 10:00	0	mus musculus	5.044	not provided	not provided	not provided	0.3089	1.55	UCSDMI	TRUE	10483
10483.BLANK1.1H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK1.1H	not applicable	BLANK1.1H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.467.WT.HC3.D49.a	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0282	c31	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	435	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	2	1.0357	D3	1	437	5.753	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.781	01/04/2016 10:00	5	mus musculus	11.75	not provided	not provided	not provided	0.5442	3.05	UCSDMI	TRUE	10483
10483.recip.545.WT.HC4.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c52	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	560	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	not provided	B66	not provided	561	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	01/25/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.467.WT.PD3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0356	c48	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	1	0.1226	D29	0	545	2.063	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.018	03/07/2016 10:00	8	mus musculus	7.328	not provided	not provided	not provided	0.1715	1.321	UCSDMI	TRUE	10483
10483.recip.459.WT.HC3.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c42	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	469	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	1	not provided	B48	not provided	468	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/23/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.318.ASO.HC1.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c23	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	388	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	1	not provided	A26	not provided	389	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.541.ASO.HC4.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0368	c52	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	561	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	0.5507	D35	1	560	5.349	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.294	03/07/2016 10:00	4	mus musculus	9.737	not provided	not provided	not provided	0.7689	4.153	UCSDMI	TRUE	10483
10483.recip.654.ASO.HC6.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c71	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	3	not provided	F9	not provided	623	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK5.4F	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK5.4F	not applicable	BLANK5.4F	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.639.WT.PD6.D49	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c77	false	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	not provided	G3	not provided	638	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.290.ASO.OB2.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c65	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	616	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	3	not provided	F1	not provided	614	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.317.ASO.HC1.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c23	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	388	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	1	not provided	B18	not provided	389	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/12/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.621.ASO.HC5.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0282	c74	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	635	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	2	0.3842	F51	2	633	4.044	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.9321	04/04/2016 10:00	6	mus musculus	10.64	not provided	not provided	not provided	0.6819	3.211	UCSDMI	TRUE	10483
10483.recip.637.ASO.PD6.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c81	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	643	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	1	not provided	F62	not provided	644	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.630.ASO.PD5.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c77	false	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	not provided	F56	not provided	638	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.323.ASO.PD1.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c26	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	400	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	2	not provided	B23	not provided	401	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/12/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
